# Sao Paulo Mirante (A701), -23.496289, -46.620067, 785.64 m
# date,°C,%,hPa,mm,m/s,degree
date,tc,rh,pr,rr,ws,wd
2024-08-14 02:00:00-03:00,9.2,80.0,932.7,0.0,2.3,142.0
2024-08-14 03:00:00-03:00,9.2,82.0,932.0,0.0,2.1,125.0
2024-08-14 04:00:00-03:00,9.5,82.0,931.7,0.0,3.4,123.0
2024-08-14 05:00:00-03:00,9.6,82.0,932.0,0.0,2.2,124.0
2024-08-14 06:00:00-03:00,9.3,83.0,932.0,0.0,2.4,113.0
2024-08-14 07:00:00-03:00,9.1,84.0,932.3,0.0,2.7,116.0
2024-08-14 08:00:00-03:00,9.7,83.0,932.8,0.0,2.3,115.0
2024-08-14 09:00:00-03:00,12.0,75.0,933.2,0.0,2.3,113.0
2024-08-14 10:00:00-03:00,13.5,68.0,932.8,0.0,2.3,126.0
2024-08-14 11:00:00-03:00,17.2,53.0,932.2,0.0,0.8,130.0
2024-08-14 12:00:00-03:00,19.3,46.0,931.5,0.0,1.2,188.0
2024-08-14 13:00:00-03:00,20.7,43.0,930.5,0.0,1.1,178.0
2024-08-14 14:00:00-03:00,22.6,38.0,929.7,0.0,1.0,170.0
2024-08-14 15:00:00-03:00,23.2,37.0,929.2,0.0,0.8,195.0
2024-08-14 16:00:00-03:00,23.3,36.0,929.1,0.0,0.3,204.0
2024-08-14 17:00:00-03:00,22.1,36.0,929.4,0.0,0.8,116.0
2024-08-14 18:00:00-03:00,19.2,52.0,929.8,0.0,1.1,154.0
2024-08-14 19:00:00-03:00,16.2,68.0,930.5,0.0,0.0,222.0
2024-08-14 20:00:00-03:00,14.8,74.0,931.2,0.0,0.0,235.0
2024-08-14 21:00:00-03:00,13.9,78.0,931.5,0.0,0.0,222.0
2024-08-14 22:00:00-03:00,13.7,79.0,931.6,0.0,0.0,175.0
2024-08-14 23:00:00-03:00,13.1,83.0,931.4,0.0,0.0,155.0
2024-08-15 00:00:00-03:00,12.7,84.0,931.2,0.0,0.0,143.0
2024-08-15 01:00:00-03:00,12.6,84.0,930.7,0.0,0.0,98.0
2024-08-15 02:00:00-03:00,12.1,86.0,930.1,0.0,0.0,134.0
2024-08-15 03:00:00-03:00,11.8,87.0,929.8,0.0,0.0,103.0
2024-08-15 04:00:00-03:00,11.4,88.0,929.8,0.0,0.0,108.0
2024-08-15 05:00:00-03:00,11.7,87.0,930.1,0.0,0.0,117.0
2024-08-15 06:00:00-03:00,10.9,87.0,930.9,0.0,0.0,118.0
2024-08-15 07:00:00-03:00,11.6,87.0,931.5,0.0,0.0,137.0
2024-08-15 08:00:00-03:00,14.1,75.0,932.1,0.0,1.2,123.0
2024-08-15 09:00:00-03:00,16.6,66.0,932.3,0.0,1.5,121.0
2024-08-15 10:00:00-03:00,20.1,53.0,932.2,0.0,1.7,117.0
2024-08-15 11:00:00-03:00,22.1,44.0,931.6,0.2,1.4,109.0
2024-08-15 12:00:00-03:00,25.7,36.0,930.8,0.0,1.4,121.0
2024-08-15 13:00:00-03:00,28.2,26.0,929.7,0.0,2.0,24.0
2024-08-15 14:00:00-03:00,28.0,26.0,929.0,0.0,2.8,342.0
2024-08-15 15:00:00-03:00,28.3,26.0,928.6,0.0,3.1,353.0
2024-08-15 16:00:00-03:00,28.6,22.0,928.7,0.0,2.2,305.0
2024-08-15 17:00:00-03:00,27.5,24.0,929.0,0.0,1.5,334.0
2024-08-15 18:00:00-03:00,25.6,25.0,929.5,0.0,1.0,333.0
2024-08-15 19:00:00-03:00,24.1,30.0,929.8,0.0,1.2,339.0
2024-08-15 20:00:00-03:00,22.3,37.0,930.2,0.0,0.6,38.0
2024-08-15 21:00:00-03:00,20.5,45.0,930.3,0.0,1.0,98.0
2024-08-15 22:00:00-03:00,19.2,51.0,930.4,0.0,1.2,70.0
2024-08-15 23:00:00-03:00,18.3,54.0,930.5,0.0,0.0,181.0
2024-08-16 00:00:00-03:00,17.6,58.0,930.5,0.0,0.0,63.0
2024-08-16 01:00:00-03:00,17.4,59.0,930.3,0.0,0.0,72.0
2024-08-16 02:00:00-03:00,16.1,65.0,929.9,0.0,0.0,164.0
2024-08-16 03:00:00-03:00,16.4,63.0,929.6,0.0,0.0,58.0
2024-08-16 04:00:00-03:00,15.3,68.0,929.6,0.0,0.0,18.0
2024-08-16 05:00:00-03:00,15.1,69.0,930.1,0.0,0.0,232.0
2024-08-16 06:00:00-03:00,14.5,73.0,930.4,0.0,0.0,336.0
2024-08-16 07:00:00-03:00,15.0,73.0,931.0,0.0,0.0,64.0
2024-08-16 08:00:00-03:00,18.0,63.0,931.4,0.0,0.3,102.0
2024-08-16 09:00:00-03:00,20.6,55.0,931.8,0.0,1.1,121.0
2024-08-16 10:00:00-03:00,24.0,44.0,931.8,0.0,0.3,117.0
2024-08-16 11:00:00-03:00,26.6,36.0,931.4,0.0,0.4,263.0
2024-08-16 12:00:00-03:00,28.5,29.0,930.4,0.0,1.3,307.0
2024-08-16 13:00:00-03:00,29.2,25.0,929.5,0.0,2.3,287.0
2024-08-16 14:00:00-03:00,30.1,22.0,928.6,0.0,1.4,338.0
2024-08-16 15:00:00-03:00,30.9,22.0,928.2,0.0,0.2,151.0
2024-08-16 16:00:00-03:00,30.4,20.0,928.2,0.0,1.0,305.0
2024-08-16 17:00:00-03:00,29.3,22.0,928.3,0.0,0.2,275.0
2024-08-16 18:00:00-03:00,25.7,33.0,928.8,0.0,1.4,197.0
2024-08-16 19:00:00-03:00,24.0,31.0,929.4,0.0,0.6,192.0
2024-08-16 20:00:00-03:00,23.8,33.0,929.9,0.0,0.1,77.0
2024-08-16 21:00:00-03:00,23.3,37.0,930.2,0.0,0.4,101.0
2024-08-16 22:00:00-03:00,21.6,46.0,930.2,0.0,0.7,72.0
2024-08-16 23:00:00-03:00,21.2,45.0,930.2,0.0,0.1,78.0
2024-08-17 00:00:00-03:00,20.0,52.0,930.2,0.0,0.0,225.0
2024-08-17 01:00:00-03:00,19.4,56.0,929.9,0.0,0.0,40.0
2024-08-17 02:00:00-03:00,18.9,58.0,929.5,0.0,0.0,52.0
2024-08-17 03:00:00-03:00,17.7,65.0,929.2,0.0,0.3,96.0
2024-08-17 04:00:00-03:00,16.9,69.0,929.0,0.0,0.0,69.0
2024-08-17 05:00:00-03:00,16.5,70.0,929.4,0.0,0.0,81.0
2024-08-17 06:00:00-03:00,15.7,74.0,929.9,0.0,0.0,87.0
2024-08-17 07:00:00-03:00,16.2,74.0,930.4,0.0,0.0,82.0
2024-08-17 08:00:00-03:00,18.5,65.0,931.2,0.0,0.0,307.0
2024-08-17 09:00:00-03:00,21.7,50.0,931.5,0.0,0.9,119.0
2024-08-17 10:00:00-03:00,24.7,41.0,931.4,0.0,0.4,98.0
2024-08-17 11:00:00-03:00,26.7,34.0,930.8,0.0,1.1,110.0
2024-08-17 12:00:00-03:00,29.7,29.0,930.1,0.0,0.6,101.0
2024-08-17 13:00:00-03:00,30.3,21.0,928.9,0.0,0.7,42.0
2024-08-17 14:00:00-03:00,30.7,18.0,928.3,0.0,1.2,276.0
2024-08-17 15:00:00-03:00,31.3,15.0,927.9,0.0,1.1,181.0
2024-08-17 16:00:00-03:00,30.5,16.0,928.0,0.0,0.8,124.0
