Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,PBLH,WSPD10,WDIR10
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,K,m,m s-1,deg
701,28,35,-46.62007,-23.49629,2024-09-05,22:00:00,89.6790,288.751,333.868,4.48810,180.106
701,28,35,-46.62007,-23.49629,2024-09-05,23:00:00,90.3333,288.477,315.537,4.65260,179.782
701,28,35,-46.62007,-23.49629,2024-09-06,00:00:00,90.6119,288.277,298.460,4.58550,175.507
701,28,35,-46.62007,-23.49629,2024-09-06,01:00:00,91.7701,288.086,287.556,4.44631,168.510
701,28,35,-46.62007,-23.49629,2024-09-06,02:00:00,94.6240,287.690,228.444,3.58088,163.141
701,28,35,-46.62007,-23.49629,2024-09-06,03:00:00,95.6559,287.519,186.177,2.95127,151.965
701,28,35,-46.62007,-23.49629,2024-09-06,04:00:00,96.8443,287.547,210.140,3.39754,146.487
701,28,35,-46.62007,-23.49629,2024-09-06,05:00:00,96.5482,287.243,108.559,2.63312,123.942
701,28,35,-46.62007,-23.49629,2024-09-06,06:00:00,93.6473,287.546,173.360,3.07066,108.085
701,28,35,-46.62007,-23.49629,2024-09-06,07:00:00,89.7624,287.851,253.517,3.70941,105.107
701,28,35,-46.62007,-23.49629,2024-09-06,08:00:00,82.8476,288.990,401.341,4.11021,105.693
701,28,35,-46.62007,-23.49629,2024-09-06,09:00:00,76.2964,290.795,543.473,4.34337,99.5308
701,28,35,-46.62007,-23.49629,2024-09-06,10:00:00,70.6913,292.578,691.373,5.19415,93.9362
701,28,35,-46.62007,-23.49629,2024-09-06,11:00:00,66.3729,294.251,742.718,5.24309,100.567
701,28,35,-46.62007,-23.49629,2024-09-06,12:00:00,65.6709,295.476,909.986,5.48734,108.668
701,28,35,-46.62007,-23.49629,2024-09-06,13:00:00,68.7391,295.827,925.796,5.35032,129.136
701,28,35,-46.62007,-23.49629,2024-09-06,14:00:00,71.2777,295.568,720.160,5.79958,139.459
701,28,35,-46.62007,-23.49629,2024-09-06,15:00:00,73.0623,295.365,669.404,6.15412,145.078
701,28,35,-46.62007,-23.49629,2024-09-06,16:00:00,75.8151,294.654,573.979,5.82775,143.826
701,28,35,-46.62007,-23.49629,2024-09-06,17:00:00,80.5731,293.790,515.037,5.36570,144.822
701,28,35,-46.62007,-23.49629,2024-09-06,18:00:00,85.3961,292.043,385.564,5.33492,141.403
701,28,35,-46.62007,-23.49629,2024-09-06,19:00:00,86.4520,291.373,372.024,4.33404,128.715
701,28,35,-46.62007,-23.49629,2024-09-06,20:00:00,86.8726,291.121,301.221,3.65946,112.036
701,28,35,-46.62007,-23.49629,2024-09-06,21:00:00,88.2090,290.820,221.499,3.67568,105.864
701,28,35,-46.62007,-23.49629,2024-09-06,22:00:00,89.5635,290.626,191.544,3.36365,101.978
701,28,35,-46.62007,-23.49629,2024-09-06,23:00:00,90.1571,290.433,175.278,3.20220,99.2379
701,28,35,-46.62007,-23.49629,2024-09-07,00:00:00,90.4657,290.315,160.422,2.56615,100.626
701,28,35,-46.62007,-23.49629,2024-09-07,01:00:00,90.9063,290.173,120.386,2.23268,92.3341
701,28,35,-46.62007,-23.49629,2024-09-07,02:00:00,90.9830,290.119,222.396,1.81668,85.8316
701,28,35,-46.62007,-23.49629,2024-09-07,03:00:00,91.3642,289.810,103.714,1.19217,82.0883
701,28,35,-46.62007,-23.49629,2024-09-07,04:00:00,92.2495,289.611,92.3831,1.15954,80.4213
