Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202408.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,O3_UGM3,NO_UGM3,NO2_UGM3,NH3_UGM3,CO,SO2_UGM3,TOL_UGM3,PM10,PM25_TOT,N10,N20,N40,N100
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,ug m-3,ug m-3,ug m-3,ug m-3,ppbV,ug m-3,ug m-3,ug m-3,ug m-3,cm-3,cm-3,cm-3,cm-3
95,24,33,-46.73742,-23.56634,2024-08-28,22:00:00,0.752764E-01,36.8834,60.2678,11.0200,549.219,1.58115,8.70704,14.1921,9.60568,11077.0,10018.4,5544.98,1185.66
95,24,33,-46.73742,-23.56634,2024-08-28,23:00:00,0.142087E-01,45.3916,61.7313,12.8957,617.443,1.82228,9.92072,18.2363,11.2449,12467.9,11095.9,5852.56,1292.26
95,24,33,-46.73742,-23.56634,2024-08-29,00:00:00,0.128271E-01,60.1908,61.3899,14.2846,758.563,2.03189,12.2680,21.4256,13.0341,14633.2,12704.3,6157.41,1410.51
95,24,33,-46.73742,-23.56634,2024-08-29,01:00:00,0.129909E-01,76.4886,62.7871,13.9491,959.300,2.13364,15.7733,25.4668,15.4132,17490.2,15121.1,7358.50,1668.29
95,24,33,-46.73742,-23.56634,2024-08-29,02:00:00,0.627510E-02,87.3603,66.2373,12.8656,1121.60,2.22467,18.7375,28.9713,17.7548,19919.5,17142.6,8257.71,1881.69
95,24,33,-46.73742,-23.56634,2024-08-29,03:00:00,0.270542E-02,103.184,69.7086,13.3166,1280.99,2.43638,21.6504,31.7751,20.2915,22582.8,19577.2,9469.13,2128.96
95,24,33,-46.73742,-23.56634,2024-08-29,04:00:00,0.221285E-02,120.199,72.3484,14.5240,1426.07,2.69625,24.2999,34.6907,22.7590,25004.5,21986.0,10828.7,2389.24
95,24,33,-46.73742,-23.56634,2024-08-29,05:00:00,0.161168E-02,140.462,75.0556,16.5528,1594.11,3.04864,27.3333,37.8479,25.5407,27730.3,24824.8,12574.1,2717.06
95,24,33,-46.73742,-23.56634,2024-08-29,06:00:00,0.265151,162.842,76.7349,17.6068,1773.50,3.19394,30.5454,41.0599,28.3836,30614.7,27757.9,14314.6,3039.53
95,24,33,-46.73742,-23.56634,2024-08-29,07:00:00,3.76086,169.889,73.8362,13.6170,1823.05,2.56208,31.3135,42.1006,29.8825,31115.1,27987.8,14010.4,2997.28
95,24,33,-46.73742,-23.56634,2024-08-29,08:00:00,8.37260,150.156,72.8977,9.96432,1678.60,2.00272,28.3857,40.2126,29.2398,28345.3,25613.2,13138.6,2760.84
